order_id,customer_id,Store_id,Date
OD00000001,c10001,st007,01/01/2015
OD00000002,c10002,st012,01/01/2015
OD00000003,c10003,st002,01/01/2015
OD00000004,c10004,st002,01/01/2015
OD00000005,c10005,st010,01/01/2015
OD00000006,c10006,st011,01/01/2015
OD00000007,c10007,st002,01/01/2015
OD00000008,c10008,st002,01/01/2015
OD00000009,c10009,st004,01/01/2015
OD00000010,c10010,st008,02/01/2015
OD00000011,c10011,st011,02/01/2015
OD00000012,c10012,st003,02/01/2015
OD00000013,c10013,st009,03/01/2015
OD00000014,c10014,st011,03/01/2015
OD00000015,c10015,st004,03/01/2015
OD00000016,c10016,st007,03/01/2015
OD00000017,c10017,st007,03/01/2015
OD00000018,c10018,st002,03/01/2015
OD00000019,c10019,st008,03/01/2015
OD00000020,c10020,st005,03/01/2015
OD00000021,c10021,st012,03/01/2015
OD00000022,c10022,st007,04/01/2015
OD00000023,c10023,st009,04/01/2015
OD00000024,c10024,st002,04/01/2015
OD00000025,c10025,st002,04/01/2015
OD00000026,c10026,st010,04/01/2015
OD00000027,c10027,st007,05/01/2015
OD00000028,c10028,st012,05/01/2015
OD00000029,c10029,st002,05/01/2015
OD00000030,c10030,st001,05/01/2015
OD00000031,c10031,st011,05/01/2015
OD00000032,c10032,st012,05/01/2015
OD00000033,c10033,st009,06/01/2015
OD00000034,c10034,st003,06/01/2015
OD00000035,c10035,st008,06/01/2015
OD00000036,c10036,st003,06/01/2015
OD00000037,c10037,st010,07/01/2015
OD00000038,c10038,st003,07/01/2015
OD00000039,c10039,st005,07/01/2015
OD00000040,c10040,st006,08/01/2015
OD00000041,c10041,st001,08/01/2015
OD00000042,c10042,st006,08/01/2015
OD00000043,c10043,st007,08/01/2015
OD00000044,c10044,st001,08/01/2015
OD00000045,c10045,st006,08/01/2015
OD00000046,c10046,st002,09/01/2015
OD00000047,c10047,st005,09/01/2015
OD00000048,c10048,st009,09/01/2015
OD00000049,c10049,st001,10/01/2015
OD00000050,c10050,st005,10/01/2015
OD00000051,c10051,st004,10/01/2015
OD00000052,c10052,st008,10/01/2015
OD00000053,c10053,st005,10/01/2015
OD00000054,c10054,st009,11/01/2015
OD00000055,c10055,st005,11/01/2015
OD00000056,c10056,st001,11/01/2015
OD00000057,c10057,st004,11/01/2015
OD00000058,c10058,st004,12/01/2015
OD00000059,c10059,st001,12/01/2015
OD00000060,c10060,st003,12/01/2015
OD00000061,c10061,st012,12/01/2015
OD00000062,c10062,st005,12/01/2015
OD00000063,c10063,st002,13/01/2015
OD00000064,c10064,st011,13/01/2015
OD00000065,c10065,st010,13/01/2015
