order_id,payment_id,type,descriptions,pDate,Status,Details,Total_Invoice,Due_Amount
OD00000001,py00000001,online,initial payments,01/01/2015,received,,3500,1750
OD00000001,py00029552,card transaction,Pay Second,01/04/2019,not received,,3500,1750
OD00000002,py00000002,cash transaction,initial payments,01/01/2015,received,,2505,1252.5
OD00000002,py00029553,cheque,Pay Second,01/04/2019,not received,,2505,1252.5
OD00000003,py00029554,cash transaction,Pay Second,01/04/2019,not received,,4808,2404
OD00000003,py00000003,card transaction,initial payments,01/01/2015,received,,4808,2404
OD00000003,py00059242,cheque,Pay Third,19/08/2023,not received,,4808,2404
OD00000004,py00000004,online,initial payments,01/01/2015,received,bank transfer,13321,6660.5
OD00000004,py00059243,card transaction,Pay Third,19/08/2023,not received,,13321,6660.5
OD00000004,py00029557,cheque,Pay Second,02/04/2019,received,,13321,6660.5
OD00000005,py00059245,card transaction,Pay Third,19/08/2023,not received,,2016,1008
OD00000005,py00000005,cash transaction,initial payments,01/01/2015,received,,2016,1008
OD00000005,py00009981,cheque,initial payments,02/04/2019,received,,2016,1008
OD00000006,py00000006,cheque,initial payments,01/01/2015,received,,2430,1215
OD00000006,py00059249,card transaction,Pay Third,20/08/2023,not received,,2430,1215
OD00000006,py00009982,cheque,initial payments,02/04/2019,received,,2430,1215
OD00000007,py00000007,cash transaction,initial payments,01/01/2015,received,,2812,1406
OD00000007,py00059258,card transaction,Pay Third,21/08/2023,not received,,2812,1406
OD00000007,py00009983,cash transaction,initial payments,02/04/2019,received,,2812,1406
OD00000008,py00009984,card transaction,initial payments,02/04/2019,received,,7263,3631.5
OD00000008,py00059260,cheque,Pay Third,22/08/2023,not received,,7263,3631.5
OD00000008,py00000008,card transaction,initial payments,01/01/2015,received,,7263,3631.5
OD00000009,py00000009,card transaction,initial payments,01/01/2015,received,,490,245
OD00000009,py00059266,cheque,Pay Third,22/08/2023,not received,,490,245
OD00000009,py00009985,cash transaction,initial payments,02/04/2019,received,,490,245
OD00000010,py00059271,cheque,Pay Third,24/08/2023,not received,,693,346.5
OD00000010,py00009986,cheque,initial payments,02/04/2019,received,,693,346.5
OD00000010,py00000010,card transaction,initial payments,02/01/2015,received,,693,346.5
OD00000011,py00000011,online,initial payments,02/01/2015,received,bank transfer,3500,1750
OD00000011,py00059272,cheque,Pay Third,24/08/2023,not received,,3500,1750
OD00000011,py00009987,cash transaction,initial payments,02/04/2019,received,,3500,1750
OD00000012,py00059273,card transaction,Pay Third,24/08/2023,not received,,3507,1753.5
OD00000012,py00000012,card transaction,initial payments,02/01/2015,received,,3507,1753.5
OD00000012,py00009988,online,initial payments,02/04/2019,received,bank transfer,3507,1753.5
OD00000013,py00000013,card transaction,initial payments,03/01/2015,received,,7212,3606
OD00000013,py00009989,cash transaction,initial payments,02/04/2019,received,,7212,3606
OD00000013,py00059281,card transaction,Pay Third,25/08/2023,not received,,7212,3606
OD00000014,py00000014,cheque,initial payments,03/01/2015,received,,3806,1903
OD00000014,py00059284,card transaction,Pay Third,25/08/2023,not received,,3806,1903
OD00000014,py00029555,online,Pay Second,02/04/2019,not received,,3806,1903
OD00000015,py00000015,cheque,initial payments,03/01/2015,received,,1008,504
OD00000015,py00029556,card transaction,Pay Second,02/04/2019,not received,,1008,504
OD00000015,py00059289,cheque,Pay Third,26/08/2023,not received,,1008,504
OD00000016,py00029558,cheque,Pay Second,02/04/2019,not received,,2430,1215
OD00000016,py00000016,online,initial payments,03/01/2015,received,bank transfer,2430,1215
OD00000016,py00059290,cheque,Pay Third,26/08/2023,not received,,2430,1215
OD00000017,py00059291,cheque,Pay Third,01/01/2015,error,,8436,4218
OD00000017,py00000017,online,initial payments,03/01/2015,received,bank transfer,8436,4218
